Start,Ziel,Entfernung
Raststätte Gruibingen Am Kornberg (mit Anschlussstelle) (A 8),MUEHLHAUSEN,3
MUEHLHAUSEN,HOHENSTADT (A 8),6
HOHENSTADT (A 8),MERKLINGEN (A 8),9
MERKLINGEN (A 8),Scharenstetten (A 8),3
Scharenstetten (A 8),KREUZ ULM - WEST,14
KREUZ ULM - WEST,ULM - NORD (A 8),1
ULM - NORD (A 8),KREUZ ULM - OST,4
KREUZ ULM - OST,OBERELCHINGEN (A 8),4
OBERELCHINGEN (A 8),KREUZ ULM / ELCHINGEN,3
KREUZ ULM / ELCHINGEN,LEIPHEIM (A 8),8
LEIPHEIM (A 8),DREIECK GUENZBURG,2
DREIECK GUENZBURG,GUENZBURG (A 8),5
GUENZBURG (A 8),UNTERKNOERINGEN (A 8),7
UNTERKNOERINGEN (A 8),BURGAU (A 8),5
BURGAU (A 8),ZUSMARSHAUSEN (A 8),12
ZUSMARSHAUSEN (A 8),ADELSRIED (A 8),9
ADELSRIED (A 8),NEUSAESS (A 8),9
NEUSAESS (A 8),KREUZ AUGSBURG - WEST,2
KREUZ AUGSBURG - WEST,AUGSBURG - OST (A 8),4
AUGSBURG - OST (A 8),FRIEDBERG (A 8),2
FRIEDBERG (A 8),DASING (A 8),9
DASING (A 8),KREUZ DASING,1
KREUZ DASING,ADELZHAUSEN (A 8),6
ADELZHAUSEN (A 8),ODELZHAUSEN (A 8),7
ODELZHAUSEN (A 8),SULZEMOOS (A 8),6
SULZEMOOS (A 8),DACHAU / FUERSTENFELDBRUCK (A 8),8
DACHAU / FUERSTENFELDBRUCK (A 8),DREIECK MUENCHEN - ESCHENRIED,4
DREIECK MUENCHEN - ESCHENRIED,MUENCHEN - LANGWIED (A 8),2
MUENCHEN - LANGWIED (A 8),KREUZ MUENCHEN - WEST,2
KREUZ MUENCHEN - WEST,MUENCHEN - OBERMENZING (A 8),1
MUENCHEN - OBERMENZING (A 8),KREUZ MUENCHEN - RAMERSDORF,20
KREUZ MUENCHEN - RAMERSDORF,KREUZ MUENCHEN - PERLACH,1
KREUZ MUENCHEN - PERLACH,NEUBIBERG (A 8),2
NEUBIBERG (A 8),UNTERHACHING - OST (A 8),3
UNTERHACHING - OST (A 8),TAUFKIRCHEN - OST (A 8),2
TAUFKIRCHEN - OST (A 8),KREUZ MUENCHEN - SUED,2
KREUZ MUENCHEN - SUED,HOFOLDINGER FORST (A 8),6
HOFOLDINGER FORST (A 8),HOLZKIRCHEN (A 8),10
HOLZKIRCHEN (A 8),WEYARN (A 8),6
WEYARN (A 8),Seehamer See  (mit Anschlussstelle) (A 8),7
Seehamer See  (mit Anschlussstelle) (A 8),IRSCHENBERG (A 8),4
IRSCHENBERG (A 8),DREIECK IRSCHENBERG,5
DREIECK IRSCHENBERG,BAD AIBLING (A 8),4
BAD AIBLING (A 8),KREUZ KOLBERMOOR,3
KREUZ KOLBERMOOR,ROSENHEIM - WEST ?  (VB) (A 8),1
ROSENHEIM - WEST ?  (VB) (A 8),DREIECK INNTAL,2
DREIECK INNTAL,ROSENHEIM (A 8),2
ROSENHEIM (A 8),ROHRDORF (A 8),3
ROHRDORF (A 8),ACHENMUEHLE (A 8),3
ACHENMUEHLE (A 8),FRASDORF (A 8),6
FRASDORF (A 8),BERNAU (A 8),6
BERNAU (A 8),FELDEN (A 8),2
FELDEN (A 8),UEBERSEE (A 8),8
UEBERSEE (A 8),DREIECK GRABENSTAETT,2
DREIECK GRABENSTAETT,GRABENSTAETT (A 8),1
GRABENSTAETT (A 8),BERGEN (A 8),6
BERGEN (A 8),SCHWEINBACH (A 8),3
SCHWEINBACH (A 8),TRAUNSTEIN / SIEGSDORF (A 8),1
TRAUNSTEIN / SIEGSDORF (A 8),NEUKIRCHEN,7
NEUKIRCHEN,ANGER (A 8),10
ANGER (A 8),BAD REICHENHALL (A 8),5
BAD REICHENHALL (A 8),SCHWARZBACH (A 8),2
SCHWARZBACH (A 8),Bundesgrenze Bad Reichenhall D-A (A 8),0.5
DREIECK POTSDAM,BEELITZ - HEILSTAETTEN (A 9),2
BEELITZ - HEILSTAETTEN (A 9),BEELITZ (A 9),6
BEELITZ (A 9),BRUECK (A 9),11
BRUECK (A 9),NIEMEGK (A 9),9
NIEMEGK (A 9),KLEIN MARZEHNS (A 9),12
KLEIN MARZEHNS (A 9),KOESELITZ (A 9),10
KOESELITZ (A 9),COSWIG (A 9),9
COSWIG (A 9),VOCKERODE (A 9),7
VOCKERODE (A 9),DESSAU - OST (A 9),3
DESSAU - OST (A 9),DESSAU - SUED (A 9),10
DESSAU - SUED (A 9),KREUZ WOLFEN,6
KREUZ WOLFEN,BITTERFELD / WOLFEN (A 9),7
BITTERFELD / WOLFEN (A 9),HALLE (A 9),10
HALLE (A 9),WIEDEMAR (A 9),10
WIEDEMAR (A 9),SCHKEUDITZER KREUZ,4
SCHKEUDITZER KREUZ,GROSSKUGEL (A 9),3
GROSSKUGEL (A 9),LEIPZIG - WEST (A 9),6
LEIPZIG - WEST (A 9),BAD DUERRENBERG (A 9),7
BAD DUERRENBERG (A 9),KREUZ RIPPACHTAL,8
KREUZ RIPPACHTAL,WEISSENFELS (A 9),8
WEISSENFELS (A 9),NAUMBURG (A 9),10
NAUMBURG (A 9),DROYSSIG (A 9),6
DROYSSIG (A 9),EISENBERG (A 9),10
EISENBERG (A 9),BAD KLOSTERLAUSNITZ (A 9),7
BAD KLOSTERLAUSNITZ (A 9),HERMSDORFER KREUZ,4
HERMSDORFER KREUZ,HERMSDORF - SUED (A 9),2
HERMSDORF - SUED (A 9),LEDERHOSE (A 9),7
LEDERHOSE (A 9),TRIPTIS (A 9),7
TRIPTIS (A 9),DITTERSDORF (A 9),11
DITTERSDORF (A 9),SCHLEIZ (A 9),13
SCHLEIZ (A 9),BAD LOBENSTEIN (A 9),13
BAD LOBENSTEIN (A 9),RUDOLPHSTEIN (A 9),4
RUDOLPHSTEIN (A 9),BERG / BAD STEBEN (A 9),5
BERG / BAD STEBEN (A 9),NAILA / SELBITZ (A 9),4
NAILA / SELBITZ (A 9),DREIECK BAYERISCHES VOGTLAND,2
DREIECK BAYERISCHES VOGTLAND,KREUZ HOF - WEST,4
KREUZ HOF - WEST,MUENCHBERG - NORD (A 9),10
MUENCHBERG - NORD (A 9),MUENCHBERG - SUED (A 9),4
MUENCHBERG - SUED (A 9),DREIECK ZELL,3
DREIECK ZELL,GEFREES (A 9),7
GEFREES (A 9),MARKTSCHORGAST (A 9),3
MARKTSCHORGAST (A 9),BAD BERNECK / HIMMELKRON (A 9),5
BAD BERNECK / HIMMELKRON (A 9),DREIECK BAYREUTH / KULMBACH,3
DREIECK BAYREUTH / KULMBACH,BINDLACHER BERG (A 9),1
BINDLACHER BERG (A 9),BAYREUTH - NORD (A 9),6
BAYREUTH - NORD (A 9),BAYREUTH - SUED (A 9),4
BAYREUTH - SUED (A 9),TROCKAU (A 9),16
TROCKAU (A 9),PEGNITZ (A 9),12
PEGNITZ (A 9),WEIDENSEES (A 9),4
WEIDENSEES (A 9),PLECH (A 9),5
PLECH (A 9),HORMERSDORF (A 9),7
HORMERSDORF (A 9),SCHNAITTACH (A 9),9
SCHNAITTACH (A 9),LAUF / HERSBRUCK (A 9),6
LAUF / HERSBRUCK (A 9),LAUF (A 9),3
LAUF (A 9),KREUZ NUERNBERG,5
KREUZ NUERNBERG,NUERNBERG - FISCHBACH (A 9),7
NUERNBERG - FISCHBACH (A 9),KREUZ NUERNBERG - OST,1
KREUZ NUERNBERG - OST,DREIECK NUERNBERG / FEUCHT,5
DREIECK NUERNBERG / FEUCHT,ALLERSBERG (A 9),11
ALLERSBERG (A 9),HILPOLTSTEIN (A 9),10
HILPOLTSTEIN (A 9),DREIECK WEINSFELD,3
DREIECK WEINSFELD,THALMAESSING (A 9),7
THALMAESSING (A 9),GREDING (A 9),5
GREDING (A 9),ALTMUEHLTAL (A 9),6
ALTMUEHLTAL (A 9),DENKENDORF (A 9),10
DENKENDORF (A 9),LENTING (A 9),13
LENTING (A 9),INGOLSTADT - NORD (A 9),5
INGOLSTADT - NORD (A 9),INGOLSTADT - SUED (A 9),2
INGOLSTADT - SUED (A 9),MANCHING (A 9),5
MANCHING (A 9),LANGENBRUCK (A 9),8
LANGENBRUCK (A 9),DREIECK HOLLEDAU,9
DREIECK HOLLEDAU,Raststätte In der Holledau  (mit Anschlussstelle) (A 9),3
Raststätte In der Holledau  (mit Anschlussstelle) (A 9),PFAFFENHOFEN (A 9),6
PFAFFENHOFEN (A 9),ALLERSHAUSEN (A 9),9
ALLERSHAUSEN (A 9),KREUZ NEUFAHRN,13
KREUZ NEUFAHRN,ECHING (A 9),2
ECHING (A 9),GARCHING - NORD (A 9),4
GARCHING - NORD (A 9),GARCHING - SUED (A 9),2
GARCHING - SUED (A 9),KREUZ MUENCHEN - NORD,3
KREUZ MUENCHEN - NORD,MUENCHEN - FROETTMANING - SUED (A 9),2
MUENCHEN - FROETTMANING - SUED (A 9),MUENCHEN - FREIMANN (A 9),1
MUENCHEN - FREIMANN (A 9),MUENCHEN - FRANKFURTER RING (A 9),1
MUENCHEN - FRANKFURTER RING (A 9),DREIECK MUENCHEN - SCHWABING,2
DREIECK SCHWANEBECK,BERLIN - HOHENSCHOENHAUSEN (A 10),4
BERLIN - HOHENSCHOENHAUSEN (A 10),BERLIN - MARZAHN (A 10),7
BERLIN - MARZAHN (A 10),BERLIN - HELLERSDORF (A 10),8
BERLIN - HELLERSDORF (A 10),RUEDERSDORF (A 10),3
RUEDERSDORF (A 10),ERKNER (A 10),7
ERKNER (A 10),FREIENBRINK (A 10),4
FREIENBRINK (A 10),DREIECK SPREEAU,8
DREIECK SPREEAU,NIEDERLEHME (A 10),6
NIEDERLEHME (A 10),KOENIGS WUSTERHAUSEN (A 10),4
KOENIGS WUSTERHAUSEN (A 10),SCHOENEFELDER KREUZ,4
SCHOENEFELDER KREUZ,KREUZ RANGSDORF,4
KREUZ RANGSDORF,GENSHAGEN (A 10),9
GENSHAGEN (A 10),LUDWIGSFELDE - OST (A 10),2
LUDWIGSFELDE - OST (A 10),LUDWIGSFELDE - WEST (A 10),6
LUDWIGSFELDE - WEST (A 10),DREIECK NUTHETAL,8
DREIECK NUTHETAL,MICHENDORF (A 10),4
MICHENDORF (A 10),FERCH (A 10),4
FERCH (A 10),DREIECK POTSDAM,4
DREIECK POTSDAM,GLINDOW (A 10),4
GLINDOW (A 10),DREIECK WERDER,5
DREIECK WERDER,GROSS KREUTZ (A 10),6
GROSS KREUTZ (A 10),PHOEBEN (A 10),5
PHOEBEN (A 10),LEEST (A 10),3
LEEST (A 10),POTSDAM - NORD (A 10),5
POTSDAM - NORD (A 10),BERLIN - SPANDAU  (Südteil) (A 10),7
BERLIN - SPANDAU  (Südteil) (A 10),KREUZ BERLIN - SPANDAU  (Nordteil),2
KREUZ BERLIN - SPANDAU  (Nordteil),BRIESELANG (A 10),2
BRIESELANG (A 10),FALKENSEE (A 10),5
FALKENSEE (A 10),DREIECK HAVELLAND,11
DREIECK HAVELLAND,OBERKRAEMER (A 10),7
OBERKRAEMER (A 10),KREUZ ORANIENBURG,6
KREUZ ORANIENBURG,BIRKENWERDER (A 10),5
BIRKENWERDER (A 10),MUEHLENBECK (A 10),7
MUEHLENBECK (A 10),DREIECK PANKOW,6
DREIECK PANKOW,BERLIN - BUCHHOLZ (A 10),3
BERLIN - BUCHHOLZ (A 10),BERLIN - KAROW (A 10),2
BERLIN - KAROW (A 10),BERLIN - WEISSENSEE (A 10),3
BERLIN - WEISSENSEE (A 10),DREIECK SCHWANEBECK,2
Bundesgrenze Pomellen PL-D (A 11),NADRENSEE (A 11),3.5
NADRENSEE (A 11),PENKUN (A 11),6
PENKUN (A 11),SCHMOELLN (A 11),11
SCHMOELLN (A 11),KREUZ UCKERMARK,9
KREUZ UCKERMARK,GRAMZOW (A 11),2
GRAMZOW (A 11),WARNITZ (A 11),6
WARNITZ (A 11),PFINGSTBERG (A 11),7
PFINGSTBERG (A 11),JOACHIMSTHAL (A 11),21
JOACHIMSTHAL (A 11),CHORIN (A 11),2
CHORIN (A 11),WERBELLIN (A 11),7
WERBELLIN (A 11),FINOWFURT - NORD (A 11),5
FINOWFURT - NORD (A 11),FINOWFURT (A 11),1
FINOWFURT (A 11),LANKE (A 11),12
LANKE (A 11),WANDLITZ (A 11),5
WANDLITZ (A 11),BERNAU - NORD (A 11),4
BERNAU - NORD (A 11),BERNAU - SUED (A 11),5
BERNAU - SUED (A 11),DREIECK SCHWANEBECK,4
DREIECK SCHWANEBECK,DREIECK VOLKSPARK PRENZLAUER BERG,11
DREIECK SPREEAU,FRIEDERSDORF (A 12),2
FRIEDERSDORF (A 12),STORKOW (A 12),9
STORKOW (A 12),FUERSTENWALDE - WEST (A 12),12
FUERSTENWALDE - WEST (A 12),FUERSTENWALDE - OST (A 12),2
FUERSTENWALDE - OST (A 12),BRIESEN (A 12),12
BRIESEN (A 12),MUELLROSE (A 12),5
MUELLROSE (A 12),FRANKFURTER TOR (A 12),8
FRANKFURTER TOR (A 12),FRANKFURT - WEST (A 12),0.4
FRANKFURT - WEST (A 12),FRANKFURT - MITTE (A 12),3
FRANKFURT - MITTE (A 12),Bundesgrenze Frankfurt D-PL (A 12),4
SCHOENEFELDER KREUZ,RAGOW (A 13),3
RAGOW (A 13),MITTENWALDE (A 13),3
MITTENWALDE (A 13),BESTENSEE (A 13),2
BESTENSEE (A 13),GROSS KOERIS (A 13),11
GROSS KOERIS (A 13),TEUPITZ (A 13),4
TEUPITZ (A 13),BARUTH (A 13),6
BARUTH (A 13),STAAKOW (A 13),6
STAAKOW (A 13),FREIWALDE (A 13),9
FREIWALDE (A 13),DUBEN (A 13),7
DUBEN (A 13),LUEBBENAU (A 13),9
LUEBBENAU (A 13),DREIECK SPREEWALD,1
DREIECK SPREEWALD,KITTLITZ (A 13),2
KITTLITZ (A 13),CALAU (A 13),6
CALAU (A 13),BRONKOW (A 13),15
BRONKOW (A 13),GROSSRAESCHEN (A 13),10
GROSSRAESCHEN (A 13),KLETTWITZ (A 13),6
KLETTWITZ (A 13),SCHWARZHEIDE (A 13),6
SCHWARZHEIDE (A 13),RUHLAND (A 13),3
RUHLAND (A 13),ORTRAND (A 13),12
ORTRAND (A 13),SCHOENBORN (A 13),7
SCHOENBORN (A 13),THIENDORF (A 13),4
THIENDORF (A 13),RADEBURG (A 13),9
RADEBURG (A 13),MARSDORF (A 13),6
MARSDORF (A 13),DREIECK DRESDEN - NORD,3
DAHLENWARSLEBEN (A 14),KREUZ MAGDEBURG,4
KREUZ MAGDEBURG,MAGDEBURG - STADTFELD (A 14),3
MAGDEBURG - STADTFELD (A 14),WANZLEBEN (A 14),7
WANZLEBEN (A 14),MAGDEBURG - SUDENBURG (A 14),2
MAGDEBURG - SUDENBURG (A 14),MAGDEBURG - REFORM (A 14),4
MAGDEBURG - REFORM (A 14),SCHOENEBECK (A 14),7
SCHOENEBECK (A 14),CALBE (A 14),12
CALBE (A 14),STASSFURT (A 14),5
STASSFURT (A 14),KREUZ BERNBURG,5
KREUZ BERNBURG,DREIECK PLOETZKAU,8
DREIECK PLOETZKAU,KOENNERN (A 14),9
KOENNERN (A 14),LOEBEJUEN (A 14),8
LOEBEJUEN (A 14),DREIECK HALLE - NORD,7
DREIECK HALLE - NORD,HALLE - TROTHA (A 14),1
HALLE - TROTHA (A 14),HALLE - TORNAU (A 14),9
HALLE - TORNAU (A 14),HALLE / PEISSEN (A 14),4
HALLE / PEISSEN (A 14),HALLE - OST (A 14),4
HALLE - OST (A 14),GROEBERS (A 14),7
GROEBERS (A 14),SCHKEUDITZER KREUZ,4
SCHKEUDITZER KREUZ,SCHKEUDITZ (A 14),4
SCHKEUDITZ (A 14),LEIPZIG - NORD (A 14),4
LEIPZIG - NORD (A 14),LEIPZIG - MITTE (A 14),6
LEIPZIG - MITTE (A 14),LEIPZIG - MESSEGELAENDE (A 14),2
LEIPZIG - MESSEGELAENDE (A 14),LEIPZIG - NORDOST (A 14),5
LEIPZIG - NORDOST (A 14),LEIPZIG - OST (A 14),3
LEIPZIG - OST (A 14),KLEINPOESNA (A 14),4
KLEINPOESNA (A 14),DREIECK PARTHENAUE,2
DREIECK PARTHENAUE,NAUNHOF (A 14),3
NAUNHOF (A 14),KLINGA (A 14),4
KLINGA (A 14),GRIMMA (A 14),7
GRIMMA (A 14),MUTZSCHEN (A 14),9
MUTZSCHEN (A 14),LEISNIG (A 14),9
LEISNIG (A 14),DOEBELN - NORD (A 14),12
DOEBELN - NORD (A 14),DOEBELN - OST (A 14),7
DOEBELN - OST (A 14),NOSSEN - NORD (A 14),7
NOSSEN - NORD (A 14),NOSSEN - OST (A 14),6
NOSSEN - OST (A 14),DREIECK NOSSEN,2
DREIECK SPREEWALD,BOBLITZ (A 15),4
BOBLITZ (A 15),VETSCHAU (A 15),8
VETSCHAU (A 15),COTTBUS - WEST (A 15),18
COTTBUS - WEST (A 15),COTTBUS - SUED (A 15),4
COTTBUS - SUED (A 15),ROGGOSEN (A 15),8
ROGGOSEN (A 15),FORST (A 15),10
FORST (A 15),BADEMEUSEL (A 15),10
BADEMEUSEL (A 15),Bundesgrenze Forst D-PL (A 15),1
DREIECK DRESDEN - WEST,DRESDEN - GORBITZ (A 17),3
DRESDEN - GORBITZ (A 17),DRESDEN - SUEDVORSTADT (A 17),9
DRESDEN - SUEDVORSTADT (A 17),DRESDEN - PROHLIS (A 17),3
DRESDEN - PROHLIS (A 17),HEIDENAU (A 17),4
HEIDENAU (A 17),PIRNA (A 17),6
PIRNA (A 17),BAHRETAL (A 17),5
BAHRETAL (A 17),BAD GOTTLEUBA (A 17),9
BAD GOTTLEUBA (A 17),Bundesgrenze Breitenau D-CZ (A 17),6
ROSTOCK - UEBERSEEHAFEN (A 19),ROSTOCK - NORD (A 19),4
ROSTOCK - NORD (A 19),ROSTOCK - OST (A 19),2
ROSTOCK - OST (A 19),ROSTOCK - SUED (A 19),3
ROSTOCK - SUED (A 19),KESSIN (A 19),4
KESSIN (A 19),KREUZ ROSTOCK,2
KREUZ ROSTOCK,KAVELSTORF (A 19),2
KAVELSTORF (A 19),LAAGE (A 19),15
LAAGE (A 19),GLASEWITZ (A 19),8
GLASEWITZ (A 19),GUESTROW (A 19),6
GUESTROW (A 19),KRAKOW (A 19),11
KRAKOW (A 19),LINSTOW (A 19),8
LINSTOW (A 19),MALCHOW (A 19),16
MALCHOW (A 19),WAREN (A 19),4
WAREN (A 19),ROEBEL (A 19),12
ROEBEL (A 19),WREDENHAGEN (A 19),11
WREDENHAGEN (A 19),WITTSTOCK (A 19),13
WITTSTOCK (A 19),DREIECK WITTSTOCK,3
KREUZ LUEBECK,LUEBECK - GENIN (A 20),4
LUEBECK - GENIN (A 20),LUEBECK - SUED (A 20),7
LUEBECK - SUED (A 20),GROSS SARAU (A 20),4
GROSS SARAU (A 20),LUEDERSDORF (A 20),6
LUEDERSDORF (A 20),SCHOENBERG (A 20),9
SCHOENBERG (A 20),GREVESMUEHLEN (A 20),17
GREVESMUEHLEN (A 20),BOBITZ (A 20),9
BOBITZ (A 20),WISMAR - MITTE (A 20),9
WISMAR - MITTE (A 20),KREUZ WISMAR,7
KREUZ WISMAR,ZUROW (A 20),6
ZUROW (A 20),NEUKLOSTER (A 20),7
NEUKLOSTER (A 20),KROEPELIN (A 20),13
KROEPELIN (A 20),BAD DOBERAN (A 20),11
BAD DOBERAN (A 20),ROSTOCK - WEST (A 20),3
ROSTOCK - WEST (A 20),ROSTOCK - SUEDSTADT (A 20),2
ROSTOCK - SUEDSTADT (A 20),KREUZ ROSTOCK,7
KREUZ ROSTOCK,DUMMERSTORF (A 20),2
DUMMERSTORF (A 20),SANITZ (A 20),12
SANITZ (A 20),TESSIN (A 20),10
TESSIN (A 20),BAD SUELZE (A 20),11
BAD SUELZE (A 20),TRIBSEES (A 20),6
TRIBSEES (A 20),GRIMMEN - WEST (A 20),16
GRIMMEN - WEST (A 20),GRIMMEN - OST (A 20),7
GRIMMEN - OST (A 20),POMMERNDREIECK,3
POMMERNDREIECK,GREIFSWALD (A 20),6
GREIFSWALD (A 20),DERSEKOW (A 20),8
DERSEKOW (A 20),GUETZKOW (A 20),10
GUETZKOW (A 20),JARMEN (A 20),4
JARMEN (A 20),ANKLAM (A 20),14
ANKLAM (A 20),ALTENTREPTOW (A 20),9
ALTENTREPTOW (A 20),NEUBRANDENBURG - NORD (A 20),6
NEUBRANDENBURG - NORD (A 20),NEUBRANDENBURG - OST (A 20),11
NEUBRANDENBURG - OST (A 20),FRIEDLAND (A 20),11
FRIEDLAND (A 20),STRASBURG (A 20),9
STRASBURG (A 20),PASEWALK - NORD (A 20),15
PASEWALK - NORD (A 20),PASEWALK - SUED (A 20),5
PASEWALK - SUED (A 20),PRENZLAU - OST (A 20),13
PRENZLAU - OST (A 20),PRENZLAU - SUED (A 20),6
PRENZLAU - SUED (A 20),KREUZ UCKERMARK,7
WANKENDORF (A 21),BORNHOEVED (A 21),5
BORNHOEVED (A 21),TRAPPENKAMP (A 21),4
TRAPPENKAMP (A 21),DALDORF (A 21),3
DALDORF (A 21),WAHLSTEDT  (Nordteil) (A 21),5
WAHLSTEDT  (Nordteil) (A 21),WAHLSTEDT  (Südteil) (A 21),1
WAHLSTEDT  (Südteil) (A 21),BAD SEGEBERG - NORD  Wegfall (A 21),5
BAD SEGEBERG - NORD  Wegfall (A 21),KREUZ BAD SEGEBERG,0.5
KREUZ BAD SEGEBERG,BAD SEGEBERG - SUED (A 21),1
BAD SEGEBERG - SUED (A 21),SCHWISSEL (A 21),3
SCHWISSEL (A 21),LEEZEN (A 21),6
LEEZEN (A 21),BAD OLDESLOE - NORD (A 21),5
BAD OLDESLOE - NORD (A 21),BAD OLDESLOE - SUED (A 21),2
BAD OLDESLOE - SUED (A 21),TREMSBUETTEL (A 21),6
TREMSBUETTEL (A 21),KREUZ BARGTEHEIDE,3
HEIDE - WEST (A 23),HEIDE - SUED (A 23),4
HEIDE - SUED (A 23),ALBERSDORF (A 23),14
ALBERSDORF (A 23),SCHAFSTEDT (A 23),6
SCHAFSTEDT (A 23),HANERAU - HADEMARSCHEN (A 23),5
HANERAU - HADEMARSCHEN (A 23),SCHENEFELD (A 23),6
SCHENEFELD (A 23),ITZEHOE - NORD (A 23),9
ITZEHOE - NORD (A 23),ITZEHOE - WEST (A 23),3
ITZEHOE - WEST (A 23),ITZEHOE - SUED  (Nordteil) (A 23),5
ITZEHOE - SUED  (Nordteil) (A 23),ITZEHOE - SUED  (Südteil) (A 23),0.5
ITZEHOE - SUED  (Südteil) (A 23),LAEGERDORF (A 23),4
LAEGERDORF (A 23),HOHENFELDE (A 23),4
HOHENFELDE (A 23),HORST / ELMSHORN (A 23),6
HORST / ELMSHORN (A 23),ELMSHORN (A 23),8
ELMSHORN (A 23),TORNESCH (A 23),4
TORNESCH (A 23),PINNEBERG - NORD (A 23),5
PINNEBERG - NORD (A 23),PINNEBERG - MITTE (A 23),3
PINNEBERG - MITTE (A 23),PINNEBERG - SUED (A 23),1
PINNEBERG - SUED (A 23),HALSTENBEK / RELLINGEN (A 23),1
HALSTENBEK / RELLINGEN (A 23),HALSTENBEK - KRUPUNDER (A 23),3
HALSTENBEK - KRUPUNDER (A 23),HAMBURG - EIDELSTEDT (A 23),3
HAMBURG - EIDELSTEDT (A 23),DREIECK HAMBURG - NORDWEST,0.5
DREIECK HAMBURG - HORN,HAMBURG - JENFELD (A 24),4
HAMBURG - JENFELD (A 24),KREUZ HAMBURG - OST,3
KREUZ HAMBURG - OST,REINBEK (A 24),5
REINBEK (A 24),WITZHAVE (A 24),7
WITZHAVE (A 24),KREUZ SCHWARZENBEK / GRANDE,6
KREUZ SCHWARZENBEK / GRANDE,TALKAU (A 24),10
TALKAU (A 24),HORNBEK (A 24),6
HORNBEK (A 24),GALLIN (A 24),13
GALLIN (A 24),ZARRENTIN (A 24),4
ZARRENTIN (A 24),WITTENBURG (A 24),13
WITTENBURG (A 24),HAGENOW (A 24),12
HAGENOW (A 24),LUDWIGSLUST (A 24),17
LUDWIGSLUST (A 24),DREIECK SCHWERIN,2
DREIECK SCHWERIN,NEUSTADT - GLEWE (A 24),8
NEUSTADT - GLEWE (A 24),PARCHIM (A 24),13
PARCHIM (A 24),SUCKOW (A 24),14
SUCKOW (A 24),PUTLITZ (A 24),7
PUTLITZ (A 24),MEYENBURG (A 24),10
MEYENBURG (A 24),PRITZWALK (A 24),17
PRITZWALK (A 24),DREIECK WITTSTOCK,4
DREIECK WITTSTOCK,HERZSPRUNG (A 24),9
HERZSPRUNG (A 24),NEURUPPIN (A 24),24
NEURUPPIN (A 24),NEURUPPIN - SUED (A 24),7
NEURUPPIN - SUED (A 24),FEHRBELLIN (A 24),5
FEHRBELLIN (A 24),KREMMEN (A 24),17
KREMMEN (A 24),DREIECK HAVELLAND,2
DREIECK HAMBURG - SUEDOST,HAMBURG - ALLERMOEHE (A 25),3
HAMBURG - ALLERMOEHE (A 25),HAMBURG - NEUALLERMOEHE - WEST (A 25),2
HAMBURG - NEUALLERMOEHE - WEST (A 25),HAMBURG - NETTELNBURG (A 25),2
HAMBURG - NETTELNBURG (A 25),HAMBURG - BERGEDORF (A 25),2
HAMBURG - BERGEDORF (A 25),HAMBURG - CURSLACK (A 25),2
HAMBURG - CURSLACK (A 25),KREUZ GEESTHACHT,6
KREUZ STADE - OST,DOLLERN (A 26),6
DOLLERN (A 26),HORNEBURG (A 26),4
HORNEBURG (A 26),JORK (A 26),5
JORK (A 26),BUXTEHUDE (A 26),5
BUXTEHUDE (A 26),NEU WULMSTORF (A 26),4
NEU WULMSTORF (A 26),KREUZ HAMBURG - SUEDERELBE,9
KREUZ HAMBURG - SUEDERELBE,HAMBURG - MOORBURG (A 26),2
HAMBURG - MOORBURG (A 26),HAMBURG - HOHE SCHAAR (A 26),3
HAMBURG - HOHE SCHAAR (A 26),DREIECK HAMBURG - WILHELMSBURG - SUED,4
DREIECK HAMBURG - WILHELMSBURG - SUED,DREIECK HAMBURG - STILLHORN,2
CUXHAVEN (A 27),ALTENWALDE (A 27),3
ALTENWALDE (A 27),NORDHOLZ (A 27),9
NORDHOLZ (A 27),NEUENWALDE (A 27),8
NEUENWALDE (A 27),DEBSTEDT (A 27),6
DEBSTEDT (A 27),BREMERHAVEN - UEBERSEEHAEFEN (A 27),5
BREMERHAVEN - UEBERSEEHAEFEN (A 27),BREMERHAVEN - MITTE (A 27),4
BREMERHAVEN - MITTE (A 27),BREMERHAVEN - GEESTEMUENDE (A 27),2
BREMERHAVEN - GEESTEMUENDE (A 27),BREMERHAVEN - WULSDORF (A 27),3
BREMERHAVEN - WULSDORF (A 27),DREIECK BREMERHAVEN,1
DREIECK BREMERHAVEN,BREMERHAVEN - SUED (A 27),3
BREMERHAVEN - SUED (A 27),DREIECK STOTEL,3
DREIECK STOTEL,HAGEN (A 27),8
HAGEN (A 27),UTHLEDE (A 27),8
UTHLEDE (A 27),SCHWANEWEDE (A 27),9
SCHWANEWEDE (A 27),IHLPOHL (A 27),6
IHLPOHL (A 27),DREIECK BREMEN - NORD,1
DREIECK BREMEN - NORD,DREIECK BREMEN - INDUSTRIEHAEFEN,4
DREIECK BREMEN - INDUSTRIEHAEFEN,BREMEN - INDUSTRIEHAEFEN (A 27),0.5
BREMEN - INDUSTRIEHAEFEN (A 27),KREUZ BREMEN - UEBERSEESTADT,6
KREUZ BREMEN - UEBERSEESTADT,BREMEN - HORN-LEHE (A 27),4
BREMEN - HORN-LEHE (A 27),BREMEN - VAHR (A 27),4
BREMEN - VAHR (A 27),BREMEN - SEBALDSBRUECK (A 27),6
BREMEN - SEBALDSBRUECK (A 27),BREMER KREUZ,2
